"100324,065603,21.088945,105.904067,0,0,-16"
"100324,065609,21.088953,105.904083,0,0,-16"
"100324,065616,21.088985,105.904151,0,0,-16"
"100324,065622,21.088996,105.904151,0,0,-16"
"100324,065628,21.089017,105.904167,0,0,-16"
"100324,065634,21.089025,105.904212,0,0,-16"
"100324,065641,21.089042,105.904212,0,0,-16"
"100324,065647,21.089078,105.904251,0,0,-16"
"100324,065653,21.089090,105.904251,0,0,-16"
"100324,065659,21.089086,105.904266,0,0,-16"
"100324,065705,21.089082,105.904251,0,0,-16"
"100324,065712,21.089038,105.904182,0,0,-16"
"100324,065718,21.089042,105.904182,0,0,-16"
"100324,065724,21.089042,105.904151,0,0,-16"
"100324,065730,21.089067,105.904167,0,0,-16"
"100324,065737,21.089090,105.904182,0,0,-16"
"100324,065743,21.089057,105.904167,0,0,-16"
"100324,065749,21.089025,105.904098,0,0,-16"
"100324,065755,21.089038,105.904067,0,0,-16"
"100324,065801,21.089054,105.904067,0,0,-16"
"100324,065808,21.089071,105.904083,0,0,-16"
"100324,065814,21.089057,105.904083,0,0,-16"
"100324,065820,21.089033,105.904083,0,0,-16"
"100324,065826,21.089029,105.904067,0,0,-16"
"100324,065832,21.089057,105.904037,0,0,-16"
"100324,065839,21.089107,105.904083,0,0,-16"
"100324,065845,21.089090,105.904083,0,0,-16"
"100324,065851,21.089082,105.904083,0,0,-16"
"100324,065857,21.089086,105.904067,0,0,-16"
"100324,065904,21.089103,105.904067,0,0,-16"
"100324,065910,21.089094,105.904067,0,0,-16"
"100324,065916,21.089075,105.904052,0,0,-16"
"100324,065922,21.089042,105.904067,0,0,-16"
"100324,065928,21.089057,105.904067,0,0,-16"
"100324,065935,21.089067,105.904083,0,0,-16"
"100324,065941,21.089071,105.904098,0,0,-16"
"100324,065947,21.089038,105.904083,0,0,-16"
"100324,065953,21.089021,105.904067,0,0,-16"
"100324,070000,21.089038,105.904083,0,0,-16"
"100324,070006,21.089050,105.904098,0,0,-16"
"100324,070012,21.089071,105.904121,0,0,-16"
"100324,070018,21.089086,105.904121,0,0,-16"
"100324,070024,21.089094,105.904121,0,0,-16"
"100324,070031,21.089067,105.904083,0,0,-16"
"100324,070037,21.089042,105.904067,0,0,-16"
"100324,070043,21.089061,105.904121,0,0,-16"
"100324,070049,21.089067,105.904121,0,0,-16"
"100324,070056,21.089067,105.904121,0,0,-16"
"100324,070102,21.089050,105.904136,0,0,-16"
"100324,070108,21.089025,105.904121,0,0,-16"
"100324,070114,21.089006,105.904098,0,0,-16"
"100324,070120,21.088977,105.904067,0,0,-16"
