Index,Lat,Lon,UTC,time
7154,21.008684,105.8535848,2305:476989.500,29:31.5
7155,21.0086845,105.8535888,2305:476989.550,29:31.5
7156,21.008685,105.8535932,2305:476989.600,29:31.6
7157,21.00868533,105.8535972,2305:476989.650,29:31.6
7158,21.00868583,105.8536012,2305:476989.700,29:31.7
7159,21.00868633,105.8536052,2305:476989.750,29:31.7
7160,21.00868683,105.853609,2305:476989.800,29:31.8
7161,21.0086875,105.8536132,2305:476989.850,29:31.8
7162,21.00868783,105.8536172,2305:476989.900,29:31.9
7163,21.00868833,105.8536212,2305:476989.950,29:31.9
7164,21.00868883,105.8536252,2305:476990.000,29:32.0
7165,21.00868983,105.8536333,2305:476990.100,29:32.1
7166,21.00869033,105.8536373,2305:476990.150,29:32.1
7167,21.00869083,105.8536415,2305:476990.200,29:32.2
7168,21.00869133,105.8536453,2305:476990.250,29:32.2
7169,21.00869183,105.8536492,2305:476990.300,29:32.3
7170,21.00869233,105.8536532,2305:476990.350,29:32.3
7171,21.00869283,105.8536572,2305:476990.400,29:32.4
7172,21.00869333,105.8536612,2305:476990.450,29:32.4
7173,21.00869383,105.853665,2305:476990.500,29:32.5
7174,21.00869417,105.8536688,2305:476990.550,29:32.5
7175,21.00869467,105.8536725,2305:476990.600,29:32.6
7176,21.00869517,105.8536763,2305:476990.650,29:32.6
7177,21.00869567,105.8536802,2305:476990.700,29:32.7
7178,21.00869617,105.8536838,2305:476990.750,29:32.8
7179,21.00869667,105.8536875,2305:476990.800,29:32.8
7180,21.00869717,105.8536912,2305:476990.850,29:32.8
7181,21.00869767,105.8536947,2305:476990.900,29:32.9
7182,21.00869817,105.8536983,2305:476990.950,29:32.9
7183,21.00869867,105.8537018,2305:476991.000,29:33.0
7184,21.00869917,105.8537053,2305:476991.050,29:33.0
7185,21.0086995,105.8537087,2305:476991.100,29:33.1
7186,21.0087,105.8537122,2305:476991.150,29:33.1
7187,21.0087005,105.8537155,2305:476991.200,29:33.2
7188,21.008701,105.8537188,2305:476991.250,29:33.2
7189,21.0087015,105.8537222,2305:476991.300,29:33.3
7190,21.008702,105.8537255,2305:476991.350,29:33.3
7191,21.0087025,105.8537285,2305:476991.400,29:33.4
7192,21.008703,105.8537318,2305:476991.450,29:33.4
7193,21.0087035,105.853735,2305:476991.500,29:33.5
