Index,Lat,Lon,GPS time,UTC
7074,20.98370983,105.92500717,2305:523371.200,01:22:33.250 03/16/2024
7075,20.98370983,105.92500733,2305:523371.250,01:22:33.300 03/16/2024
7076,20.98370983,105.92500733,2305:523371.300,01:22:33.350 03/16/2024
7077,20.98370983,105.92500767,2305:523371.350,01:22:33.400 03/16/2024
7078,20.98371000,105.92500767,2305:523371.400,01:22:33.450 03/16/2024
7079,20.98371000,105.92500767,2305:523371.450,01:22:33.500 03/16/2024
7080,20.98371000,105.92500767,2305:523371.500,01:22:33.550 03/16/2024
7081,20.98371000,105.92500783,2305:523371.550,01:22:33.600 03/16/2024
7082,20.98371000,105.92500800,2305:523371.600,01:22:33.650 03/16/2024
7083,20.98371000,105.92500817,2305:523371.650,01:22:33.700 03/16/2024
7084,20.98371000,105.92500817,2305:523371.700,01:22:33.750 03/16/2024
7085,20.98371000,105.92500817,2305:523371.750,01:22:33.800 03/16/2024
7086,20.98371000,105.92500833,2305:523371.800,01:22:33.850 03/16/2024
7087,20.98371000,105.92500833,2305:523371.850,01:22:33.900 03/16/2024
7088,20.98371000,105.92500850,2305:523371.900,01:22:33.950 03/16/2024
7089,20.98371017,105.92500883,2305:523371.950,01:22:34.000 03/16/2024
7090,20.98371017,105.92500883,2305:523372.000,01:22:34.050 03/16/2024
7091,20.98371017,105.92500883,2305:523372.050,01:22:34.100 03/16/2024
7092,20.98371017,105.92500850,2305:523372.100,01:22:34.150 03/16/2024
7093,20.98371017,105.92500883,2305:523372.150,01:22:34.200 03/16/2024
7094,20.98371017,105.92500883,2305:523372.200,01:22:34.250 03/16/2024
7095,20.98371017,105.92500900,2305:523372.250,01:22:34.300 03/16/2024
7096,20.98371017,105.92500933,2305:523372.300,01:22:34.350 03/16/2024
7097,20.98371017,105.92500950,2305:523372.350,01:22:34.400 03/16/2024
7098,20.98371017,105.92500950,2305:523372.400,01:22:34.450 03/16/2024
7099,20.98371033,105.92500967,2305:523372.450,01:22:34.500 03/16/2024
7100,20.98371033,105.92500967,2305:523372.500,01:22:34.550 03/16/2024
7101,20.98371033,105.92500983,2305:523372.550,01:22:34.600 03/16/2024
7102,20.98371033,105.92501000,2305:523372.600,01:22:34.650 03/16/2024
7103,20.98371033,105.92501000,2305:523372.650,01:22:34.700 03/16/2024
7104,20.98371033,105.92501000,2305:523372.700,01:22:34.750 03/16/2024
7105,20.98371033,105.92501017,2305:523372.750,01:22:34.800 03/16/2024
7106,20.98371033,105.92501017,2305:523372.800,01:22:34.850 03/16/2024
7107,20.98371033,105.92501033,2305:523372.850,01:22:34.900 03/16/2024
7108,20.98371033,105.92501050,2305:523372.900,01:22:34.950 03/16/2024
7109,20.98371033,105.92501050,2305:523372.950,01:22:35.000 03/16/2024
7110,20.98371033,105.92501067,2305:523373.000,01:22:35.050 03/16/2024
7111,20.98371050,105.92501050,2305:523373.050,01:22:35.100 03/16/2024
7112,20.98371050,105.92501067,2305:523373.100,01:22:35.150 03/16/2024
7113,20.98371033,105.92501067,2305:523373.150,01:22:35.200 03/16/2024
7114,20.98371050,105.92501083,2305:523373.200,01:22:35.250 03/16/2024
7115,20.98371050,105.92501083,2305:523373.300,01:22:35.300 03/16/2024
7116,20.98371050,105.92501100,2305:523373.300,01:22:35.350 03/16/2024
7117,20.98371050,105.92501117,2305:523373.350,01:22:35.400 03/16/2024
7118,20.98371050,105.92501133,2305:523373.400,01:22:35.450 03/16/2024
7119,20.98371050,105.92501133,2305:523373.450,01:22:35.500 03/16/2024
7120,20.98371050,105.92501133,2305:523373.500,01:22:35.550 03/16/2024
7121,20.98371050,105.92501150,2305:523373.550,01:22:35.600 03/16/2024
7122,20.98371050,105.92501150,2305:523373.600,01:22:35.650 03/16/2024
7123,20.98371050,105.92501167,2305:523373.650,01:22:35.700 03/16/2024
7124,20.98371050,105.92501167,2305:523373.700,01:22:35.750 03/16/2024
7125,20.98371050,105.92501183,2305:523373.750,01:22:35.800 03/16/2024
7126,20.98371050,105.92501183,2305:523373.800,01:22:35.850 03/16/2024
