Lat,Lon
21.0060667,105.8446000
21.0060500,105.8446167
21.0060500,105.8446500
21.0060667,105.8446667
21.0060667,105.8446833
21.0060500,105.8447000
21.0060333,105.8447000
21.0060333,105.8447000
21.0060167,105.8447167
21.0060167,105.8447333
21.0060167,105.8447333
21.0060167,105.8447333
21.0060167,105.8447333
21.0060167,105.8447167
21.0060333,105.8447167
21.0060333,105.8447000
21.0060167,105.8446833
21.0059667,105.8446667
21.0058500,105.8446500
21.0057167,105.8446333
21.0056167,105.8446000
21.0054833,105.8446167
21.0053500,105.8445833
21.0052667,105.8445667
21.0051833,105.8445667
21.0051500,105.8446167
21.0051333,105.8447333
21.0038167,105.8448000
21.0036833,105.8447833
21.0035333,105.8447833
21.0033333,105.8447500
21.0031833,105.8447167
21.0030500,105.8446833
21.0029500,105.8446833
21.0028333,105.8446667
21.0027333,105.8446333
21.0026500,105.8446667
21.0025500,105.8446333
21.0024833,105.8446667
21.0023500,105.8447000
21.0022667,105.8447667
21.0021500,105.8447500
21.0021000,105.8447667
21.0020500,105.8447833
21.0019833,105.8447833
21.0019167,105.8448000
21.0018333,105.8448333
21.0017167,105.8448500
21.0016167,105.8448667
21.0015167,105.8449333
21.0014000,105.8449667
21.0012833,105.8450000
21.0011833,105.8450000
21.0010500,105.8449833
21.0009167,105.8450167
21.0007833,105.8450167
21.0006167,105.8450333
21.0004667,105.8450333
21.0002833,105.8450333
21.0001167,105.8450500
20.9999333,105.8451167
20.9997500,105.8452167
20.9996000,105.8453500
20.9994500,105.8454333
20.9992833,105.8455333
20.9991000,105.8455833
20.9989333,105.8456500
20.9987833,105.8457167
20.9986167,105.8457667
20.9984833,105.8457667
20.9983167,105.8457500
20.9981667,105.8456833
20.9980000,105.8456333
20.9978333,105.8455833
20.9976667,105.8455833
20.9975333,105.8455833
20.9974000,105.8455667
20.9972833,105.8455500
20.9972333,105.8455333
20.9971833,105.8455167
20.9971000,105.8454667
20.9970667,105.8453333
20.9971000,105.8451500
20.9971667,105.8449000
20.9972333,105.8446667
20.9973000,105.8444167
20.9973500,105.8441667
20.9974667,105.8437333
20.9976167,105.8431667
20.9976667,105.8429333
20.9977000,105.8427167
20.9978000,105.8425000
20.9979000,105.8422833
20.9979333,105.8421333
20.9979500,105.8420333
20.9980833,105.8407333
