Lat,Lon
20.98300867,105.925396
20.98301317,105.92539367
20.98301783,105.92539117
20.983022,105.925389
20.98302617,105.925387
20.98303033,105.92538483
20.98303467,105.92538267
20.98303833,105.92538017
20.98304267,105.925378
20.98304633,105.92537583
20.9830505,105.92537367
20.9830545,105.925372
20.98305867,105.92536967
20.98306283,105.92536767
20.98306733,105.92536583
20.9830715,105.925364
20.98307567,105.9253625
20.98307983,105.92536133
20.983084,105.9253595
20.983088,105.92535767
20.98309217,105.9253555
20.98309633,105.92535333
20.98310083,105.92535067
20.983105,105.92534867
20.983109,105.9253465
20.983113,105.92534433
20.98311733,105.92534167
20.98312117,105.9253395
20.98312533,105.925337
20.9831295,105.92533433
20.983134,105.92533217
20.983138,105.92532967
20.983142,105.92532717
20.98314617,105.92532467
20.98315033,105.92532283
20.98315433,105.92532083
20.9831585,105.92531883
20.9831625,105.92531717
20.98316683,105.92531467
20.983171,105.925313
20.98317467,105.92531117
20.98317833,105.92530967
20.98318217,105.925308
20.983186,105.92530667
20.98318983,105.9253055
20.98319367,105.92530367
20.9831975,105.92530183
20.98320117,105.92530017
20.983205,105.9252985
20.98320883,105.92529683
20.98321267,105.92529517
20.9832165,105.9252935
20.98322017,105.9252915
20.983224,105.9252895
20.98322767,105.925288
20.98323117,105.9252865
20.98323483,105.925285
20.98323867,105.92528333
20.98324233,105.92528217
20.983246,105.92528067
20.98324967,105.92527883
20.98325333,105.925277
20.98325717,105.92527483
20.9832605,105.92527383
20.98326417,105.92527167
20.98326733,105.92527117
20.98327067,105.92527017
20.98327433,105.92526733
20.98327783,105.92526533
20.9832815,105.92526317
20.98328533,105.92526083
20.9832885,105.9252595
20.983292,105.9252575
20.98329517,105.92525583
20.98329833,105.92525383
20.98330183,105.925251
20.9833055,105.9252475
20.98330917,105.92524433
20.98331333,105.925241
20.98331683,105.92523867
20.98332,105.925237
20.98332317,105.92523533
20.98332667,105.92523283
20.98333017,105.92523083
20.98333333,105.92522933
20.98333683,105.92522733
20.98334017,105.925225
20.98334383,105.92522267
20.98334717,105.9252205
20.9833505,105.92521817
20.98335367,105.9252165
20.98335683,105.92521483
20.98336,105.9252135
20.9833635,105.92521133
20.98336667,105.92520933
20.98336967,105.92520733
20.98337283,105.92520567
20.983376,105.92520417
20.98337917,105.92520233
20.98338233,105.925201
20.9833855,105.92519933
20.9833885,105.92519767
20.9833915,105.925196
20.9833945,105.925194
20.9833975,105.925192
20.9834005,105.92519067
20.9834035,105.92518867
20.98340633,105.925187
20.9834095,105.92518517
20.98341267,105.92518333
20.98341567,105.925182
20.9834185,105.92518
20.98342133,105.925178
20.98342433,105.925176
20.98342717,105.92517417
20.98343033,105.92517267
20.9834335,105.925171
20.98343633,105.92516917
20.98343917,105.92516717
20.98344217,105.9251655
20.98344517,105.92516367
20.98344817,105.92516217
20.98345083,105.92516083
20.9834535,105.9251595
20.98345633,105.92515783
20.983459,105.9251565
20.98346183,105.9251545
20.98346467,105.92515317
20.98346767,105.92515083
20.98347017,105.92514917
20.98347283,105.92514733
20.9834755,105.92514533
20.983478,105.9251435
20.98348083,105.92514183
20.98348367,105.92513983
20.9834865,105.925138
20.983489,105.9251365
20.98349133,105.92513533
20.98349417,105.925134
20.98349683,105.92513233
20.98349917,105.92513017
20.98350183,105.92512817
20.98350433,105.925126
20.983507,105.92512433
20.9835095,105.92512267
20.983512,105.925121
20.9835145,105.92511933
20.983517,105.92511783
20.98351967,105.9251165
20.983522,105.92511517
20.9835245,105.92511383
20.98352717,105.92511217
20.9835295,105.92511067
20.98353217,105.92510933
20.9835345,105.92510783
20.983537,105.9251065
20.98353933,105.92510517
20.9835415,105.92510333
20.98354383,105.92510183
20.98354617,105.92510067
20.9835485,105.92509933
20.98355067,105.925098
20.98355283,105.92509667
20.983555,105.92509533
20.98355717,105.925094
20.9835595,105.92509283
20.98356167,105.92509167
20.98356367,105.92509033
20.98356583,105.92508917
20.983568,105.92508817
20.98357,105.925087
20.98357217,105.92508567
20.98357417,105.92508433
20.983576,105.92508283
20.98357817,105.92508133
20.9835805,105.92507983
20.98358283,105.92507833
20.983585,105.9250765
20.98358683,105.92507483
20.98358917,105.925073
20.98359133,105.92507133
20.98359367,105.92506967
20.98359567,105.92506833
20.98359783,105.92506683
20.98359983,105.92506533
20.983602,105.92506383
20.983604,105.92506217
20.98360617,105.92506083
20.98360833,105.9250595
20.98361033,105.9250585
20.98361217,105.92505733
20.98361417,105.92505617
20.98361617,105.92505517
20.983618,105.92505383
20.98362,105.925053
20.98362183,105.9250515
20.98362367,105.92505017
20.9836255,105.92504867
20.98362733,105.9250475
20.983629,105.92504667
20.98363067,105.92504617
20.98363233,105.92504533
20.983634,105.92504433
20.9836355,105.9250435
20.98363717,105.92504267
20.98363883,105.9250415
20.9836405,105.92504033
20.983642,105.925039
20.98364333,105.92503833
20.983645,105.9250375
20.98364667,105.9250365
20.98364833,105.92503533
20.98364983,105.92503433
20.98365133,105.92503317
20.98365267,105.92503233
20.98365417,105.92503167
20.98365567,105.92503033
20.983657,105.92502917
20.98365817,105.92502833
20.9836595,105.92502717
20.98366067,105.92502617
20.98366217,105.92502517
20.9836635,105.92502417
20.98366483,105.92502333
20.98366633,105.92502233
20.9836675,105.9250215
20.98366883,105.92502067
20.98367,105.92501967
20.98367133,105.92501883
20.9836725,105.92501833
20.9836735,105.9250175
20.98367467,105.92501683
20.983676,105.92501617
20.98367717,105.92501533
20.98367833,105.9250145
20.9836795,105.925014
20.9836805,105.92501317
20.98368133,105.92501267
20.9836825,105.92501183
20.98368333,105.9250115
20.98368417,105.925011
20.98368533,105.92501033
20.98368617,105.92500917
20.983687,105.92500867
20.98368817,105.92500817
20.983689,105.9250075
20.98368967,105.9250065
20.9836905,105.92500617
20.98369133,105.9250055
20.98369233,105.925005
20.983693,105.92500483
20.98369383,105.92500433
20.98369467,105.92500383
20.9836955,105.92500317
20.98369617,105.92500283
20.98369683,105.92500233
20.9836975,105.92500217
20.98369817,105.92500167
20.98369867,105.92500117
20.983699,105.92500133
20.98369967,105.925001
20.98370017,105.9250005
20.983701,105.92500017
20.9837015,105.92500017
20.98370167,105.925
20.983702,105.92499917
20.9837025,105.9249985
20.98370317,105.924998
20.98370367,105.924998
20.983704,105.92499767
20.98370433,105.9249975
20.98370467,105.92499733
20.983705,105.92499733
20.98370517,105.9249975
20.98370533,105.92499733
20.9837055,105.92499733
20.98370567,105.92499717
20.983706,105.924997
20.98370617,105.92499683
20.98370633,105.9249965
20.9837065,105.9249965
20.98370667,105.92499633
20.98370667,105.92499633
20.98370667,105.92499633
20.98370667,105.92499633
20.98370683,105.92499633
20.983707,105.92499633
20.983707,105.92499633
20.983707,105.92499617
20.98370717,105.92499633
20.98370717,105.92499633
20.98370717,105.92499633
20.98370733,105.92499633
20.9837075,105.92499633
20.9837075,105.92499633
20.9837075,105.9249965
20.9837075,105.92499667
20.98370767,105.92499667
20.98370767,105.92499683
20.98370767,105.924997
20.98370767,105.92499717
20.98370783,105.924997
20.98370783,105.92499733
20.98370783,105.9249975
20.983708,105.9249975
20.983708,105.92499767
20.983708,105.92499767
20.98370817,105.92499783
20.983708,105.92499817
20.98370817,105.924998
20.983708,105.92499833
20.98370817,105.92499833
20.98370817,105.9249985
20.98370817,105.92499867
20.98370817,105.92499883
20.98370817,105.92499883
20.98370817,105.924999
20.98370833,105.924999
20.98370833,105.924999
20.98370833,105.92499933
20.98370833,105.92499933
20.98370833,105.9249995
20.9837085,105.92499967
20.9837085,105.92499983
20.98370867,105.92499983
20.98370867,105.92499983
20.98370883,105.925
20.98370883,105.92500017
20.98370883,105.9250005
20.98370883,105.92500067
20.983709,105.92500083
20.983709,105.925001
20.98370917,105.92500117
20.98370917,105.92500133
20.98370917,105.92500167
20.98370917,105.92500183
20.98370933,105.92500217
20.98370933,105.92500217
20.98370933,105.9250025
20.98370933,105.92500267
20.98370933,105.925003
20.98370933,105.92500317
20.98370933,105.92500333
20.98370933,105.9250035
20.98370917,105.92500383
20.98370933,105.925004
20.98370933,105.92500417
20.98370933,105.92500433
20.98370933,105.92500467
20.98370933,105.92500483
20.98370933,105.925005
20.9837095,105.92500517
20.9837095,105.92500533
20.9837095,105.92500533
20.9837095,105.9250055
20.9837095,105.92500567
20.9837095,105.92500583
20.98370967,105.925006
20.98370967,105.92500617
20.98370967,105.92500633
20.98370967,105.92500667
20.98370967,105.92500667
20.98370967,105.92500667
20.98370983,105.92500667
20.98370983,105.92500683
20.98370983,105.925007
20.98370983,105.92500717
20.98370983,105.92500733
20.98370983,105.92500733
20.98370983,105.92500767
20.98371,105.92500767
20.98371,105.92500767
20.98371,105.92500767
20.98371,105.92500783
20.98371,105.925008
20.98371,105.92500817
20.98371,105.92500817
20.98371,105.92500817
20.98371,105.92500833
20.98371,105.92500833
20.98371,105.9250085
20.98371017,105.92500883
20.98371017,105.92500883
20.98371017,105.92500883
20.98371017,105.9250085
20.98371017,105.92500883
20.98371017,105.92500883
20.98371017,105.925009
20.98371017,105.92500933
20.98371017,105.9250095
20.98371017,105.9250095
20.98371033,105.92500967
20.98371033,105.92500967
20.98371033,105.92500983
20.98371033,105.92501
20.98371033,105.92501
20.98371033,105.92501
20.98371033,105.92501017
20.98371033,105.92501017
20.98371033,105.92501033
20.98371033,105.9250105
20.98371033,105.9250105
20.98371033,105.92501067
20.9837105,105.9250105
20.9837105,105.92501067
20.98371033,105.92501067
